ID,Title,Content,Excerpt,Date,"Post Type",Permalink,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL",Catégories,Étiquettes,Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
13,"Pourquoi le petit déjeuner n'est pas le repas le plus important de la journée","<img class=""alignleft size-full wp-image-14"" title=""Petit Déjeuner"" src=""https://fasting.fr/wp-content/uploads/2012/07/petitdejeunernon.png"" alt="""" width=""300"" height=""300"" /><strong>Aujourd'hui, comme tous les jours depuis trois ans, je n'ai pas pris de petit déjeuner.</strong>

Si on en croit les titres de journaux sur le sujet, j'ai augmenté mes risques de devenir obèse, j'ai ruiné mon métabolisme, et surtout je vais stocker de la graisse dès que je vais déjeuner plus tard dans la journée. <strong>Pourtant, je n'ai jamais été aussi mince...</strong>

Que dit la science sur le sujet ?

<h2>Origine du mythe</h2>

À force de répéter une phrase, elle en devient une vérité absolue qu'il est très dur de contredire.

Il est vrai que certaines études montrent que les gens qui sautent le petit déjeuner sont en général plus gros que ceux qui mangent régulièrement. Les grands groupes céréaliers (qui vous vendent des corn flakes avec des vitamines artificielles) n'hésitent pas à citer ces recherches pour vous inciter à prendre un ""bon petit-déjeuner"".

Lorsqu'on regarde de plus près, les conclusions sont tirées par les cheveux. Bien qu'il existe une corrélation entre sauter le petit déjeuner et être en surpoids (les gens qui ont des habitudes alimentaires déréglées ont plus tendance à prendre du poids), <strong>aucune étude n'a démontré que sauter le petit déjeuner vous rendra gros, au contraire.</strong>

Le fond du problème, c'est que ceux qui n'ont pas de régularité alimentaire se nourrissent principalement à la volée, de snacks et de produits industriels, avec tous les effets négatifs que vous connaissez sûrement. Le même phénomène s'applique avec ceux qui regardent beaucoup de télévision. Est-ce que le fait de regarder une télévision rend gros ? Non, mais ceux qui passent du temps devant ont tendance à grignoter devant au lieu d'être actif.

De la même façon, ceux qui ne prennent pas le temps de faire des vrais repas sont souvent ceux qui ne prennent pas le temps de bien se nourrir, et donc plus facilement en surpoids.

<h2>Petit déjeuner et hypoglycémie</h2>

Lorsque je parle du Fasting, la réaction qui revient le plus souvent est ""Attends mais moi, si je n'ai pas de petit déjeuner dans le ventre, je tombe en hypoglycémie"". Vous connaissez surement le petit creux de 11h... une légère nausée, un peu fébrile, vous attrapez une barre céréale, un coca ou un morceau de sucre pour faire passer le malaise.

Cette sensation se produit lorsque le taux de sucre dans le sang chute. Et pour que le taux de sucre chute... il faut qu'il soit élevé quelques heures avant.

Vous vous levez le matin, vous prenez un bol de céréales ""Special Q"" avec du lait écrémé et un fruit, pensant bien faire. Sans graisses, le sucre est rapidement absorbé par l'organisme et le sucre (qu'il soit lent ou rapide, il est ""cassé"" en glucose) arrive dans le sang. Vous vous sentez plein d'énergie et prêt à démarrer la journée. <strong>Quelques heures plus tard, le sucre a été utilisé, votre corps en demande à nouveau, c'est l'hypoglycémie.</strong> Bravo, vous êtes dépendant au sucre.

<strong>Les gens qui ne prennent pas de petit déjeuner, comme moi, ont justement un taux de sucre stable et ne connaissent pas le coup de barre de 11h. Il suffit de quelques jours pour être sevré et ne plus subir les crises.</strong>

<h2>Un peu d'observation</h2>

On a tous un ou plusieurs amis qui ne font pas attention, ne font pas particulièrement de sport, mais restent minces toute l'année. Quand vous déjeunez avec eux, ils ont bon appétit. En leur demandant, vous verrez que 2 fois sur 3, ils ne sont ""pas très petit déj"".

<strong>Mon petit déjeuner ? Café noir.</strong> La caféine m'aide à me concentrer et à rester mince grâce à son effet thermogénique. Pour d'autres, ça peut être aussi du thé, même du soda sans sucre.

Une seule contrainte pour les adeptes du Fasting : <strong>pas de calories</strong>.

Vous voulez en savoir plus ? J'en parle <a href=""https://fasting.fr/livre"" title=""Le livre Fasting"">sur cette page.</a>",,2012-07-18,post,https://fasting.fr/petit-dejeuner-fasting/,https://fasting.fr/wp-content/uploads/2012/07/petitdejeunernon.png,"Petit Déjeuner",,,,https://fasting.fr/wp-content/uploads/2012/07/petitdejeunernon.png,,"Best-of|Mieux manger",,publish,1,jb,jb@fasting.fr,,,petit-dejeuner-fasting,,,0,0,0,open,open,2014-11-19
22,"Mes 10 raisons pour perdre du poids","Alors que je prenais 20 kilos (entre 2001 et 2008), mon poids n'avait vraiment aucune importance.",,1970-01-01,post,https://fasting.fr/?p=22,,,,,,,,"Non classé",,draft,1,jb,jb@fasting.fr,,,,,,0,0,0,open,open,2012-07-31
24,"Comment ne pas reprendre les kilos perdus",,,1970-01-01,post,https://fasting.fr/?p=24,,,,,,,,"Non classé",,draft,1,jb,jb@fasting.fr,,,,,,0,0,0,open,open,2012-07-20
38,Passer,,,2012-07-22,post,https://fasting.fr/?p=38,,,,,,,,"Non classé",,draft,1,jb,jb@fasting.fr,,,,,,0,0,0,closed,open,2012-07-22
40,"Sport et Fasting","<a href=""https://fasting.fr/wp-content/uploads/2012/07/sportfasting.jpg""><img src=""https://fasting.fr/wp-content/uploads/2012/07/sportfasting.jpg"" alt=""Sport"" title=""Sport et Fasting"" width=""300"" height=""300"" class=""alignleft size-full wp-image-42"" /></a>Le Fasting est une méthode efficace pour perdre du poids sans même faire de sport, mais est-ce compatible avec une vie de sportif?

Quelque soit le sport que vous pratiquez, vous pouvez intégrer le Fasting à votre emploi du temps. Le moment de la journée va dépendre de l'intensité de l'exercice.

<h2>Exercice léger</h2>

Faire un exercice à intensité faible (marcher, faire un jogging tranquille, nager, vélo) peut se faire à tout moment dans la journée, quelque soit votre planning de Fasting. Le meilleur moment est vers la fin de votre période de jeûne, car c'est là que le corps va puiser au mieux dans les réserves de graisses (celles de sucre étant épuisées).

<strong>Faible intensité :</strong> quand vous voulez, de préférence vers la fin du jeûne pour maximiser la dépense en graisse.

<h2>Exercice intense</h2>

Lorsque vous faites des efforts intenses (sprints, course à pied rapide et prolongée, rameur), vous allez puiser dans les réserves de sucre des muscles dans un premier temps, puis le sucre des autres tissus et du foie. La première réserve (sucre des muscles) reste intacte malgré le jeûne, mais la deuxième sera probablement épuisée. Vous avez donc de l'énergie disponible pour des efforts violents, même à jeun, mais en quantité limitée.

Pour être efficace sur un sport à haute intensité à jeun, il faut donc que l'effort soit assez bref et répété au minimum. Au délà des premiers efforts, les performances seront affectées. Réservez votre sport quelques heures après un repas, pour avoir de l'energie disponible, mais sans être balonné.

Une exception à cette règle est la musculation, qui peut être pratiquée à jeun si les séries et la séance sont courtes, comme pour la méthode Lean Gains. Dans ce cas, on planifie en général un déjeuner rapidement.

<strong>Haute intensité :</strong> en période nourrie

Pour résumer, je ne peux que vous recommander la pratique d'un sport en complément du Fasting, c'est une excellente façon de brûler de la graisse supplémentaire en fin de jeûne pour les exercices peu intense, ou alors de se muscler pendant les périodes où vous êtes nourris.

Si vous voulez faire exactement le sport que je pratique, vous pouvez suivre mon <a href=""https://fasting.fr/sport"">programme de sport Fasting</a>.",,2012-07-23,post,https://fasting.fr/sport-et-fasting/,https://fasting.fr/wp-content/uploads/2012/07/sportfasting.jpg,"Sport et Fasting",,,Sport,https://fasting.fr/wp-content/uploads/2012/07/sportfasting.jpg,,"Sport &amp; Exercice",,publish,1,jb,jb@fasting.fr,,,sport-et-fasting,,,0,0,0,open,open,2018-01-24
46,"Les boissons sucrées vous empêchent de maigrir (doublement)","<a href=""https://fasting.fr/wp-content/uploads/2012/07/jus-dorange.jpg""><img class=""alignleft size-full wp-image-53"" title=""jus-dorange"" src=""https://fasting.fr/wp-content/uploads/2012/07/jus-dorange.jpg"" alt="""" width=""300"" height=""300"" /></a>Vous le savez peut-être, les sodas et autres boissons sucrées (oui, jus de fruits inclus, avec ou sans sucres ajoutés) sont une source de calories non négligeable. C'est une des causes de l'obésité mondiale montrée du doigt, car ce sont des calories ""vides"" qui ne nourrissent pas vraiment, au contraire. Une étude récente montre que en plus d'alourdir la facture calorique, <strong>boire du sucré ralentirait l'oxydation de la masse graisseuse.</strong>
<h2>L'étude dans le détail</h2>
Ayant noté que l'oxydation des graisses était réduite de 25% lors de la consommation d'une boisson sucrée pendant l'effort, les chercheurs ont voulu observer l'implication en l'absence d'exercice.

L'équipe scientifique a donc servi le même petit déjeuner à deux groupes d'adolescents et d'adultes, en ajoutant un verre d'eau pour l'un, et un verre de jus d'orange pour l'autre groupe. Alors que la quantité d'énergie du deuxième groupe était supérieure (eau - 0 kcal, jus d'orange - 210 kcal), l'utilisation de graisse comme source d'énergie était inférieure lorsque mesurée quelques heures plus tard.

La conclusion est donc que l'ajout d'un jus d'orange au petit déjeuner vous empêchera d'utiliser pleinement la graisse consommée au déjeuner =&gt; stockage.
<h2>Ce que ça implique</h2>
<ul>
<ul>
	<li>La consommation de boissons sucrées avant, pendant et après l'effort est contre indiquée si votre objectif est de perdre du gras</li>
	<li>Boire du sucre au petit déjeuner, <a title=""Pourquoi le petit déjeuner n’est pas le repas le plus important de la journée"" href=""https://fasting.fr/2012/07/petit-dejeuner-fasting/"">en plus de créer un crash quelques heures après</a>, vous fera stocker au déjeuner</li>
</ul>
</ul>
Pour faire simple, si vous voulez maigrir plus facilement, <strong>ne touchez pas à une boisson qui contient du sucre </strong>(sauf pour la mettre à la poubelle). Les jus de fruits sont également concernés, voir pires, compte tenu du type de sucre qu'ils contiennent naturellement (fructose). Les fruits vous rendent gros ?! Oui, mais ce sera l'occasion d'un autre article...

Source : http://www.ncbi.nlm.nih.gov/pubmed/22798004",,2012-07-24,post,https://fasting.fr/les-boissons-sucrees-vous-empechent-de-maigrir/,https://fasting.fr/wp-content/uploads/2012/07/jus-dorange.jpg,jus-dorange,,,,https://fasting.fr/wp-content/uploads/2012/07/jus-dorange.jpg,,"Mieux manger",,private,1,jb,jb@fasting.fr,,,les-boissons-sucrees-vous-empechent-de-maigrir,,,0,0,0,open,open,2017-05-26
61,"Fasting en étant malade","publier en octobre",,1970-01-01,post,https://fasting.fr/?p=61,,,,,,,,"Non classé",,draft,1,jb,jb@fasting.fr,,,,,,0,0,0,closed,open,2012-07-24
65,"La peur de manquer, compensation","En aidant des gens à mincir, j'apprends plus par leur retours que dans les livres ou mon expérience personnelle.
Je me suis rendu compte qu'un des gros obstacles à la perte de poids était la peur de manquer.

C'est un mécanisme ancestral, et nécessaire à la survie de notre espèce lorsque nous étions à l'état sauvage. Le souci aujourd'hui, c'est que nous vivons dans un monde d'abondance, où tout est disponible immédiatement. Résultat, on mange en anticipation d'un effort ou d'une situation stressante, on mange en récupération d'un effort (comme <a href=""https://fasting.fr/2012/07/faut-il-faire-du-sport-pour-maigrir/"" title=""Faut-il faire du sport pour maigrir ?"">Pauline</a>, on mange quand on ressent la faim, on mange plus en prévision d'une période de jeûne.

Sur le moment, vous pensez bien faire. Résultat, à la fin de la semaine vous avez trop mangé : au mieux vous limiter la perte de poids, au pire vous grossissez.

Pour vous rassurer, un peu d'information sur les trois points qui reviennent souvent.

1 - Hypoglycémie et quantité d'énergie dans le corps humain



2 - Pendant le sport

3 - La question des carences

Conclusion, vous avez les réserves pour tenir naturellement, d'autant plus si vous êtes en surpoids. Vous n'allez pas vous évanouir, vous n'allez perdre de muscles, vous n'allez pas développer de carences.

Vous avez du poids à perdre ? Testez un peu votre corps : ne finissez pas votre assiette quand vous n'avez plus faim, contentez vous de l'eau quand vous faites du sport, ne choisissez pas l'option large par souci d'économie.

C'est un des principes du <a href=""http://methode.fasting.fr"" title=""Méthode Fasting"">Fasting</a> : réapprendre votre corps à utiliser vos réserves de graisses quand il a besoin d'énergie.",,2012-08-16,post,https://fasting.fr/?p=65,,,,,,,,"Non classé",,draft,1,jb,jb@fasting.fr,,,,,,0,0,0,closed,open,2012-08-16
67,"Mon objectif avec Fasting.fr","Simplifier la perte de poids. Montrer qu'on peut perdre du gras sans faire de sport. Montrer que le corps humain est une machine à laquelle on peut faire confiance.",,2012-07-27,post,https://fasting.fr/?p=67,,,,,,,,"Non classé",,draft,1,jb,jb@fasting.fr,,,,,,0,0,0,closed,open,2012-07-27
71,"Faut-il faire du sport pour maigrir ?","<a href=""https://fasting.fr/wp-content/uploads/2012/07/fautilfairedusport.jpg""><img class=""alignleft size-full wp-image-74"" title=""Faut il faire du sport ?"" src=""https://fasting.fr/wp-content/uploads/2012/07/fautilfairedusport.jpg"" alt="""" width=""300"" height=""300"" /></a>""Pour maigrir, il faut faire du sport"". On vous a menti. Enfin, presque.

Je vois souvent des gens (en surpoids) s'exténuer sur un tapis, parfois plusieurs fois par semaine, sans perdre du poids d'une semaine à l'autre. J'en vois d'autres, pleins de bonnes résolutions, aller sur un coup de motivation courir, nager ou passer dans une salle de sport une fois par mois, ""pour perdre un peu""... sans effet.

Malheureusement, ça ne suffit pas. L'explication est très simple.

<h2>La balance énergétique ne ment jamais</h2>

Pour perdre du poids, il faut <strong>dépenser plus que ce que l'on consomme</strong>, vous le savez sûrement. C'est la balance énergétique.

Prenons un cas assez fréquent. Pauline se motive à aller à la salle de sport, histoire de rentabiliser son abonnement et de s'attaquer à la cellulite qui progresse autour de ses cuisses depuis quelques années. Elle monte sur une machine elliptique pendant 20 minutes, en luttant sur les dernières 5 minutes. <strong>Bien, non ?</strong>

<strong>Au contraire. </strong>Avant sa séance, Pauline prend une boisson type Gatorade pleine de ""bons minéraux et électrolytes nécessaire à la récupération sportive"" (+160 kcal - balance : 160 kcal). En passant 20 minutes à faire du sport, elle dépense dans les 200 kcal (-200 kcal - balance : -40 kcal), plus ou moins en fonction de son poids et de l'intensité (généralement faible en cas d'activité irrégulière). En attendant sa copine Charlotte à l'accueil après sa séance, Pauline commande un smoothie fraise-banane ""pour reprendre un peu d'énergie"" (+260 kcal - balance : +220 kcal). De retour à la maison, l'appétit ouvert par sa séance, elle mange 2 petits cookies en préparant le diner (+150 kcal - balance : +370 kcal). Après le diner, en regardant sa série préférée, elle grignote quelques carrés de chocolat, ""bien mérités"" (+200 kcal - balance fin de journée : +570 kcal).

Bilan de la journée, Pauline se couche contente d'avoir trouvé la motivation pour suivre Charlotte à la salle de sport, et s'offrira sûrement quelques largesses dans la semaine. <strong>Perdu, Pauline !</strong> Ta balance énergétique est de <strong>570 kcal</strong> pour la journée, soit 60 g de graisse stockée en plus.

Si ça vous semble irréaliste, j'ai été plutôt conservateur sur les quantités. Ce n'est pas de la faute de Pauline, le cerveau humain trouve facilement des excuses pour se faire plaisir.

<h2>Alors, il ne faut pas faire de sport ?</h2>

Ce qui est bien avec la balance énergétique, c'est que les résultats sont garantis, dans un sens comme dans l'autre. Ne faites pas comme Pauline, et <a title=""Les boissons sucrées vous empêchent de maigrir (doublement)"" href=""https://fasting.fr/2012/07/les-boissons-sucrees-vous-empechent-de-maigrir/"">buvez de l'eau à la place d'une boisson chargée en sucre</a> pour garder une balance négative, et évitez de compenser en vous faisant plaisir derrière, sous peine de ruiner vos efforts.

""Mais alors JB, ça veut dire que si je ne prends pas de dessert ce soir, même si je ne fais pas de sport, je vais perdre du poids ?"", me diront les plus perspicaces d'entre vous : exactement. Une balance négative peut se créer en faisant de l'exercice (dépenser plus), ou en consommant moins.

Est-ce que vous préférez  A - Courir péniblement 20 minutes ou B - ne pas courir et remplacer un caramel latte / coca / jus de fruit par un café  / thé / eau, sans sucre ajouté.

Libre à vous de choisir. D'un point de vue énergétique, A et B c'est la même chose, les deux options créent un déficit calorique identique (200 kcal) et donc une perte de poids équivalente (22 g de graisse corporelle).

Faire de l'exercice est bon pour la santé, en réduisant les risques d'accidents cardiovasculaires. Je ne peux que vous recommander de bouger le plus possible.

[bonus topic=""course""]

<strong>Mais pour perdre du poids</strong>, il est plus facile pour beaucoup de s'attaquer aux habitudes alimentaires, plutôt que de s'astreindre à une discipline sportive. Arrêter de boire une petite bouteille de coca le midi est l'équivalent énergétique de 20 minutes de course à pied, tous les jours. Le Fasting Detox, détaillé dans la <a title=""Perdre du ventre"" href=""https://fasting.fr/start"" target=""_blank"">méthode Fasting</a>, vous permet en 24h, de perdre en graisse l'équivalent de 2 heures de course à pied. Une personne non assidue mettra plus d'un mois à obtenir le même résultat par l'exercice, et ce dans le cas idéal où elle ne compense pas, comme Pauline... qui désespère toujours de perdre du poids malgré ses efforts.
",,2012-07-27,post,https://fasting.fr/faut-il-faire-du-sport-pour-maigrir/,https://fasting.fr/wp-content/uploads/2012/07/fautilfairedusport.jpg,"Faut il faire du sport ?",,,,https://fasting.fr/wp-content/uploads/2012/07/fautilfairedusport.jpg,,"Best-of|Sport &amp; Exercice",,publish,1,jb,jb@fasting.fr,,,faut-il-faire-du-sport-pour-maigrir,,,0,0,0,open,open,2017-12-05
